RecordType,Date,Time,Temperature,Humidity,AmbLight,Battery,MotDetects60secs,MotDets0-9secs,MotDets10-19secs,MotDets20-29secs,MotDets30-39secs,MotDets40-49secs,MotDets50-59secs,Lat,Long,Timestamp
1,25-06-02,11:40:01,25,58,255,164,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:40:01
1,25-06-02,11:41:00,26,55,6,163,2,0,0,0,0,2,0,34.17472,-119.25857,25/06/02 11:41:00
1,25-06-02,11:42:00,26,52,6,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:42:00
1,25-06-02,11:43:01,26,51,12,163,6,0,0,0,0,0,6,34.17472,-119.25857,25/06/02 11:43:01
1,25-06-02,11:44:00,25,52,14,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:44:00
1,25-06-02,11:45:00,25,52,13,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:45:00
1,25-06-02,11:46:00,24,53,12,162,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:46:00
1,25-06-02,11:47:00,24,53,12,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:47:00
1,25-06-02,11:48:00,24,53,6,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:48:00
1,25-06-02,11:49:00,23,54,6,162,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:49:00
1,25-06-02,11:50:00,23,54,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:50:00
1,25-06-02,11:51:00,23,54,6,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:51:00
1,25-06-02,11:52:00,23,54,6,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:52:00
1,25-06-02,11:53:00,23,54,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:53:00
1,25-06-02,11:54:00,23,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:54:00
1,25-06-02,11:55:01,23,54,5,163,6,0,3,3,0,0,0,34.17472,-119.25857,25/06/02 11:55:01
1,25-06-02,11:56:00,23,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:56:00
1,25-06-02,11:57:00,23,55,5,162,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:57:00
1,25-06-02,11:58:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:58:00
1,25-06-02,11:59:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 11:59:00
1,25-06-02,12:00:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:00:00
1,25-06-02,12:01:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:01:00
1,25-06-02,12:02:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:02:00
1,25-06-02,12:03:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:03:00
1,25-06-02,12:04:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:04:00
1,25-06-02,12:05:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:05:00
1,25-06-02,12:06:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:06:00
1,25-06-02,12:07:00,22,55,5,162,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:07:00
1,25-06-02,12:08:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:08:00
1,25-06-02,12:09:00,22,55,5,162,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:09:00
1,25-06-02,12:10:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:10:00
1,25-06-02,12:11:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:11:00
1,25-06-02,12:12:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:12:00
1,25-06-02,12:13:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:13:00
1,25-06-02,12:14:01,22,55,5,163,3,3,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:14:01
1,25-06-02,12:15:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:15:00
1,25-06-02,12:16:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:16:00
1,25-06-02,12:17:00,22,55,5,162,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:17:00
1,25-06-02,12:18:00,22,55,5,162,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:18:00
1,25-06-02,12:19:00,22,55,5,163,1,0,0,0,0,0,1,34.17472,-119.25857,25/06/02 12:19:00
1,25-06-02,12:20:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:20:00
1,25-06-02,12:21:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:21:00
1,25-06-02,12:22:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:22:00
1,25-06-02,12:23:00,22,55,5,162,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:23:00
1,25-06-02,12:24:00,22,55,5,162,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:24:00
1,25-06-02,12:25:00,22,55,5,162,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:25:00
1,25-06-02,12:26:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:26:00
1,25-06-02,12:27:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:27:00
1,25-06-02,12:28:00,22,55,5,162,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:28:00
1,25-06-02,12:29:00,22,55,5,163,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:29:00
1,25-06-02,12:30:00,22,55,5,162,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 12:30:00
